"Pval" "Mean1" "Mean2" "FC_Mean" "Padjust"
"EFCAB6" 4.07e-19 -0.042 0.044 -0.086 1.93e-18
"ELP6" 0.407 -0.005 0.004 -0.009 0.451
"EOMES" 2.72e-17 0.039 -0.037 0.076 1.09e-16
"ERG" 0.105 -0.004 0.008 -0.011 0.124
"FANK1" 1.37e-26 -0.049 0.047 -0.096 3.55e-25
"FBXL15" 4.64e-12 -0.026 0.023 -0.05 1.27e-11
"FLI1" 0.00641 0.011 -0.01 0.021 0.0082
"FLNA" 9.29e-09 0.016 -0.017 0.033 2.2e-08
"FOSL1" 3.88e-20 0.032 -0.035 0.068 2.24e-19
"FOXC2" 0.019 0.013 -0.009 0.022 0.0234
"FOXM1" 1.88e-16 0.031 -0.035 0.066 6.82e-16
"GATAD1" 8.93e-17 -0.033 0.033 -0.066 3.32e-16
"GLI4" 3.11e-06 -0.018 0.016 -0.034 5.38e-06
"GREM1" 6.21e-28 0.052 -0.054 0.106 3.23e-26
"GTF2IRD2" 1.15e-18 -0.029 0.028 -0.057 5.13e-18
"GTF2IRD2B" 1 0 0 0 1
"HAND2" 1.36e-05 -0.021 0.024 -0.045 2.23e-05
"HAVCR2" 3.94e-05 0.017 -0.016 0.033 6.2e-05
"HCK" 0.000617 0.016 -0.012 0.028 0.000867
"HDAC10" 8.59e-12 -0.024 0.021 -0.045 2.27e-11
"HMGA2" 1.49e-21 0.045 -0.044 0.089 1.1e-20
"HOPX" 3.58e-24 -0.046 0.05 -0.096 4.65e-23
"HSF4" 2.5e-21 -0.034 0.032 -0.066 1.76e-20
"ICAM1" 6.65e-05 0.017 -0.013 0.031 0.000103
"IKZF1" 6.13e-05 0.02 -0.015 0.035 9.56e-05
"IL16" 0.631 0.006 -0.002 0.008 0.679
"IL6" 2.9e-24 0.054 -0.053 0.107 4.12e-23
"ITGA3" 0.0101 0.008 -0.006 0.014 0.0126
"ITGB2" 0.000604 0.015 -0.014 0.029 0.000856
"KANK2" 0.000198 -0.018 0.015 -0.033 0.000299
"KAT2A" 2.63e-06 -0.017 0.014 -0.031 4.72e-06
"L3MBTL1" 9.23e-14 -0.031 0.028 -0.059 2.77e-13
"LHX4" 1.56e-17 -0.032 0.031 -0.063 6.4e-17
"LILRB4" 0.000531 0.014 -0.014 0.027 0.000759
"LPIN3" 8.53e-17 -0.029 0.026 -0.055 3.25e-16
"LYL1" 0.326 -0.006 0.004 -0.01 0.363
"LZTS1" 4.26e-10 0.022 -0.021 0.043 1.04e-09
"MECOM" 2.96e-20 -0.044 0.045 -0.088 1.78e-19
"MED11" 0.00105 -0.013 0.01 -0.023 0.00143
"MED31" 0.699 -0.002 0.002 -0.003 0.737
"MEF2C" 0.0997 -0.006 0.006 -0.011 0.118
"MEIS3" 1.3e-26 0.044 -0.045 0.089 3.55e-25
"MNDA" 0.00238 0.014 -0.01 0.024 0.00317
"MRPL12" 0.00102 0.01 -0.013 0.023 0.00141
"MSC" 7.75e-25 0.048 -0.047 0.094 1.34e-23
"MSRB2" 0.695 0 -0.002 0.002 0.737
"MXD3" 0.000247 0.013 -0.016 0.028 0.000368
"MYOCD" 1.3e-07 -0.025 0.028 -0.053 2.75e-07
"MZF1" 2.3e-18 -0.031 0.03 -0.061 9.98e-18
"NCF1" 6.78e-08 0.02 -0.02 0.04 1.49e-07
"NFAM1" 2.11e-06 0.022 -0.021 0.043 3.86e-06
"NLRP3" 0.00122 0.012 -0.011 0.022 0.00166
"NOTCH3" 2.28e-05 0.017 -0.018 0.034 3.66e-05
"NOTCH4" 2.85e-08 0.02 -0.021 0.041 6.54e-08
"OSM" 0.0021 0.015 -0.012 0.028 0.00282
"PABPC1L" 1.75e-20 -0.027 0.028 -0.055 1.14e-19
"PAXBP1" 4e-19 -0.031 0.031 -0.062 1.93e-18
"PDE2A" 3.34e-08 0.027 -0.022 0.049 7.43e-08
"PIDD1" 0.591 -0.003 0.003 -0.005 0.644
"PLEK" 9.96e-12 0.034 -0.028 0.063 2.59e-11
"PLK1" 4.08e-15 0.03 -0.032 0.062 1.35e-14
"PNN" 0.188 -0.007 0.004 -0.011 0.216
"POU2AF1" 0.324 0.005 -0.004 0.008 0.363
"PRRX1" 4.73e-19 0.041 -0.038 0.08 2.17e-18
"PSMB9" 1.13e-14 0.029 -0.03 0.06 3.59e-14
"PTGES2" 0.00332 0.008 -0.013 0.021 0.00435
"PYHIN1" 9.47e-09 0.025 -0.024 0.048 2.21e-08
"RBM39" 4.79e-22 -0.035 0.035 -0.07 3.93e-21
"RECQL5" 1.04e-06 -0.017 0.015 -0.031 1.99e-06
"RHOH" 2.67e-07 0.023 -0.022 0.045 5.49e-07
"S100A9" 1.57e-06 0.016 -0.017 0.033 2.91e-06
"S1PR1" 0.875 0.001 0.002 -0.001 0.904
"SAP18" 2.77e-05 -0.013 0.013 -0.026 4.41e-05
"SARNP" 0.753 0.001 -0.001 0.002 0.783
"SFRP4" 0.0178 0.011 -0.008 0.019 0.022
"SLC11A1" 1.21e-06 0.017 -0.016 0.033 2.28e-06
"SLIRP" 0.00048 0.011 -0.012 0.022 0.000693
"SMO" 8.11e-27 0.042 -0.041 0.084 3.16e-25
"SOX17" 8.45e-08 0.031 -0.02 0.051 1.83e-07
"SOX18" 0.0694 0.008 -0.007 0.015 0.0833
"SPI1" 0.00455 0.012 -0.011 0.023 0.00587
"STK36" 9.96e-14 -0.023 0.022 -0.045 2.93e-13
"SULF1" 1.1e-25 0.048 -0.046 0.093 2.45e-24
"TAF1C" 2.23e-10 -0.021 0.019 -0.04 5.53e-10
"TAF1D" 1.26e-05 -0.016 0.015 -0.032 2.08e-05
"TCEA3" 1.07e-21 -0.035 0.035 -0.069 8.36e-21
"TFEC" 0.000814 0.015 -0.01 0.025 0.00113
"TGFB1" 1.64e-05 0.021 -0.019 0.039 2.66e-05
"TGFB1I1" 3.94e-13 0.031 -0.03 0.061 1.1e-12
"TGFB2" 0.707 0.005 0.001 0.004 0.741
"TLR2" 0.909 0.002 -0.001 0.003 0.932
"TLR4" 0.131 0.009 -0.004 0.013 0.151
"TMIGD3" 1 0 0 0 1
"TNFAIP3" 3.19e-13 0.032 -0.028 0.06 9.05e-13
"TNFSF8" 0.0027 0.014 -0.01 0.024 0.00358
"TOP2A" 8.21e-15 0.03 -0.033 0.064 2.67e-14
"TRIM52" 4.74e-22 -0.039 0.039 -0.078 3.93e-21
"TSSK4" 2.51e-15 -0.022 0.021 -0.043 8.72e-15
"VGLL3" 2.89e-15 0.033 -0.032 0.066 9.79e-15
"ZC3H8" 9.14e-06 -0.018 0.017 -0.036 1.53e-05
"ZEB1" 0.0743 0.008 -0.008 0.016 0.0885
"ZEB2" 3.36e-07 0.021 -0.02 0.041 6.8e-07
"ZNF133" 0.695 -0.004 0.001 -0.004 0.737
"ZNF169" 3.68e-22 -0.036 0.034 -0.07 3.37e-21
"ZNF19" 2.6e-21 -0.042 0.036 -0.078 1.76e-20
"ZNF23" 2.79e-14 -0.027 0.027 -0.054 8.54e-14
"ZNF276" 2.2e-20 -0.031 0.03 -0.061 1.37e-19
"ZNF337" 4.9e-07 -0.02 0.017 -0.036 9.68e-07
"ZNF354B" 1.82e-22 -0.04 0.038 -0.079 1.9e-21
"ZNF469" 6.21e-07 0.022 -0.022 0.043 1.21e-06
"ZNF688" 9.56e-07 -0.019 0.018 -0.038 1.84e-06
"ZNF692" 1.96e-13 -0.026 0.023 -0.049 5.67e-13
"ZNF785" 1.07e-10 -0.024 0.021 -0.045 2.69e-10
"ZNF789" 0.000309 -0.012 0.01 -0.022 0.000455
"ZNF862" 1.39e-15 -0.027 0.028 -0.054 4.92e-15
"ZRANB2" 6.11e-29 -0.054 0.052 -0.106 9.52e-27
