Sample	Type	AneuploidyScore(AS)	AS_del	AS_amp	Genome_doublings	Leuk	Purity	Stroma	Stroma_notLeukocyte
TCGA-33-4586-01	LUSC	24	13	11	1	0.385212799	0.42	0.58	0.194787201
TCGA-33-4587-01	LUSC	18	10	8	1	0.070294691	0.88	0.12	0.049705309
TCGA-33-4589-01	LUSC	26	17	9	2	0.522966988	0.2	0.8	0.277033012
TCGA-33-6738-01	LUSC	18	12	6	0	0.353625175	0.53	0.47	0.116374825
TCGA-33-A4WN-01	LUSC	6	3	3	0	0.429706743	0.39	0.61	0.180293257
TCGA-33-A5GW-01	LUSC	10	9	1	0	0.100282288	0.82	0.18	0.079717712
TCGA-33-AAS8-01	LUSC	10	10	0	0	0.268608489	0.64	0.36	0.091391511
TCGA-33-AASB-01	LUSC	16	12	4	1	0.283348083	0.44	0.56	0.276651917
TCGA-33-AASD-01	LUSC	26	11	15	1	0.099392716	0.69	0.31	0.210607284
TCGA-33-AASI-01	LUSC	12	11	1	0	0.390221043	0.52	0.48	0.089778957
TCGA-33-AASJ-01	LUSC	19	12	7	1	0.205561939	0.6	0.4	0.194438061
TCGA-33-AASL-01	LUSC	13	11	2	0	0.495420283	0.43	0.57	0.074579717
TCGA-34-2596-01	LUSC	16	15	1	0	0.27859758	0.65	0.35	0.07140242
TCGA-34-2600-01	LUSC	19	13	6	1	0.080256704	0.86	0.14	0.059743296
TCGA-34-2604-01	LUSC	24	17	7	1	0.435793062	0.24	0.76	0.324206938
TCGA-34-2605-01	LUSC	23	14	9	2	0.035817696	0.36	0.64	0.604182304
TCGA-34-2608-01	LUSC	8	4	4	0	0.4110883	0.29	0.71	0.2989117
TCGA-34-2609-01	LUSC	18	14	4	1	0.324892528	0.32	0.68	0.355107472
TCGA-34-5231-01	LUSC	27	13	14	1	0.145934924	0.67	0.33	0.184065076
TCGA-34-5232-01	LUSC	8	5	3	0	0.568214548	0.29	0.71	0.141785452
TCGA-34-5234-01	LUSC	3	2	1	0	0.488090767	0.18	0.82	0.331909233
TCGA-34-5236-01	LUSC	17	10	7	2	0.385900312	0.18	0.82	0.434099688
TCGA-34-5239-01	LUSC	21	5	16	1	0.307276488	0.45	0.55	0.242723512
TCGA-34-5240-01	LUSC	28	17	11	1	0.123959921	0.64	0.36	0.236040079
TCGA-34-5241-01	LUSC	13	11	2	1	0.406592412	0.88	0.12	-0.286592412
TCGA-34-5927-01	LUSC	9	8	1	0	0.148518763	0.77	0.23	0.081481237
TCGA-34-5928-01	LUSC	27	20	7	2	0.231994139	0.4	0.6	0.368005861
TCGA-34-5929-01	LUSC	11	9	2	0	0.150110072	0.75	0.25	0.099889928
TCGA-34-7107-01	LUSC	22	8	14	1	0.137384018	0.59	0.41	0.272615982
TCGA-34-8454-01	LUSC	7	6	1	0	0.398694631	0.45	0.55	0.151305369
TCGA-34-8455-01	LUSC	24	9	15	1	0.256017156	0.46	0.54	0.283982844
TCGA-34-8456-01	LUSC	23	10	13	1	0.184523428	0.64	0.36	0.175476572
TCGA-34-A5IX-01	LUSC	27	13	14	1	0.439841473	0.36	0.64	0.200158527
TCGA-37-3783-01	LUSC	10	4	6	0	0.423309875	0.36	0.64	0.216690125
TCGA-37-3789-01	LUSC	9	6	3	0	0.058499419	0.62	0.38	0.321500581
TCGA-37-3792-01	LUSC	23	19	4	1	0.374927667	0.4	0.6	0.225072333
TCGA-37-4129-01	LUSC	4	4	0	0	0.038143876	0.45	0.55	0.511856124
TCGA-37-4130-01	LUSC	23	17	6	2	0.349493431	0.4	0.6	0.250506569
TCGA-37-4132-01	LUSC	7	6	1	0	0.7491329	0.62	0.38	-0.3691329
TCGA-37-4133-01	LUSC	17	5	12	1	0.07826291	0.67	0.33	0.25173709
TCGA-37-4135-01	LUSC	25	17	8	1	0.029797815	0.91	0.09	0.060202185
TCGA-37-4141-01	LUSC	14	12	2	0	0.225082854	0.76	0.24	0.014917146
TCGA-37-5819-01	LUSC	20	11	9	1	0.138087516	0.71	0.29	0.151912484
TCGA-37-A5EL-01	LUSC	21	16	5	1	0.085073136	0.77	0.23	0.144926864
TCGA-37-A5EN-01	LUSC	18	8	10	1	0.278836785	0.54	0.46	0.181163215
TCGA-39-5011-01	LUSC	17	17	0	0	0.503796491	0.43	0.57	0.066203509
TCGA-39-5016-01	LUSC	23	15	8	1	0.271814392	0.51	0.49	0.218185608
TCGA-39-5019-01	LUSC	9	0	9	0	0.355212558	0.55	0.45	0.094787442
TCGA-39-5021-01	LUSC	12	6	6	0	0.47593621	0.4	0.6	0.12406379
TCGA-39-5022-01	LUSC	7	5	2	0	0.565688575	0.26	0.74	0.174311425
TCGA-39-5024-01	LUSC	4	2	2	0	0.48228573	0.32	0.68	0.19771427
TCGA-39-5027-01	LUSC	15	12	3	0	0.217740837	0.68	0.32	0.102259163
TCGA-39-5028-01	LUSC	29	10	19	1	0.414590601	0.19	0.81	0.395409399
TCGA-39-5029-01	LUSC	16	12	4	0	0.319673031	0.54	0.46	0.140326969
TCGA-39-5030-01	LUSC	12	9	3	0	0.532636084	0.3	0.7	0.167363916
TCGA-39-5031-01	LUSC	19	9	10	1	0.33627052	0.4	0.6	0.26372948
TCGA-39-5034-01	LUSC	14	9	5	1	0.255307679	0.51	0.49	0.234692321
TCGA-39-5035-01	LUSC	17	6	11	1	0.329594727	0.44	0.56	0.230405273
TCGA-39-5036-01	LUSC	18	14	4	0	0.23191168	0.64	0.36	0.12808832
TCGA-39-5037-01	LUSC	22	11	11	2	0.217211726	0.49	0.51	0.292788274
TCGA-39-5039-01	LUSC	11	8	3	0	0.37877774	0.28	0.72	0.34122226
TCGA-39-5040-01	LUSC	15	8	7	1	0.205352665	0.59	0.41	0.204647335
TCGA-43-2576-01	LUSC	29	9	20	1	#N/A	#N/A	#N/A	#N/A
TCGA-43-2578-01	LUSC	9	8	1	0	0.684283769	0.59	0.41	-0.274283769
TCGA-43-2581-01	LUSC	19	13	6	1	0.397197052	0.29	0.71	0.312802948
TCGA-43-3394-01	LUSC	25	13	12	1	0.040062115	0.6	0.4	0.359937885
TCGA-43-3920-01	LUSC	20	8	12	1	0.069849296	0.52	0.48	0.410150704
TCGA-43-5668-01	LUSC	18	8	10	1	0.458448669	0.34	0.66	0.201551331
TCGA-43-5670-01	LUSC	20	15	5	1	0.310760259	0.62	0.38	0.069239741
TCGA-43-6143-01	LUSC	18	6	12	1	0.038036892	0.86	0.14	0.101963108
TCGA-43-6647-01	LUSC	9	7	2	0	0.459400581	0.25	0.75	0.290599419
TCGA-43-6770-01	LUSC	8	7	1	0	0.254355531	0.69	0.31	0.055644469
TCGA-43-6771-01	LUSC	6	3	3	0	0.367319502	0.48	0.52	0.152680498
TCGA-43-6773-01	LUSC	4	1	3	0	0.646555911	0.21	0.79	0.143444089
TCGA-43-7656-01	LUSC	13	12	1	0	0.36696726	0.59	0.41	0.04303274
TCGA-43-7657-01	LUSC	22	11	11	1	0.235262024	0.44	0.56	0.324737976
TCGA-43-7658-01	LUSC	18	9	9	1	0.149451851	0.75	0.25	0.100548149
TCGA-43-8115-01	LUSC	10	8	2	0	0.410422683	0.42	0.58	0.169577317
TCGA-43-8116-01	LUSC	12	8	4	0	0.361302603	0.58	0.42	0.058697397
TCGA-43-8118-01	LUSC	14	5	9	1	0.355784898	0.33	0.67	0.314215102
TCGA-43-A474-01	LUSC	19	12	7	1	0.146801472	0.61	0.39	0.243198528
TCGA-43-A475-01	LUSC	14	1	13	1	0.476607328	0.34	0.66	0.183392672
TCGA-43-A56U-01	LUSC	5	5	0	0	0.635913407	0.17	0.83	0.194086593
TCGA-43-A56V-01	LUSC	17	14	3	0	0.373581495	0.57	0.43	0.056418505
TCGA-46-3765-01	LUSC	15	11	4	1	0.788815164	0.36	0.64	-0.148815164
TCGA-46-3766-01	LUSC	11	8	3	0	0.458005914	0.17	0.83	0.371994086
TCGA-46-3767-01	LUSC	10	5	5	0	0.369949289	0.23	0.77	0.400050711
TCGA-46-3768-01	LUSC	27	9	18	1	0.042361126	0.75	0.25	0.207638874
TCGA-46-3769-01	LUSC	18	14	4	2	0.134304012	0.47	0.53	0.395695988
TCGA-46-6025-01	LUSC	19	14	5	1	0.144823308	0.54	0.46	0.315176692
TCGA-46-6026-01	LUSC	26	16	10	1	0.04603882	0.9	0.1	0.05396118
TCGA-51-4079-01	LUSC	8	7	1	0	0.762806787	0.62	0.38	-0.382806787
TCGA-51-4080-01	LUSC	10	6	4	0	0.01583279	0.96	0.04	0.02416721
TCGA-51-4081-01	LUSC	17	12	5	1	0.037836854	0.63	0.37	0.332163146
TCGA-52-7622-01	LUSC	14	10	4	0	0.405700565	0.39	0.61	0.204299435
TCGA-52-7809-01	LUSC	17	12	5	1	0.253642016	0.52	0.48	0.226357984
TCGA-52-7810-01	LUSC	22	19	3	1	0.233609038	0.51	0.49	0.256390962
TCGA-52-7811-01	LUSC	14	6	8	2	0.380211937	0.22	0.78	0.399788063
TCGA-52-7812-01	LUSC	7	7	0	0	0.360160312	0.56	0.44	0.079839688
TCGA-56-1622-01	LUSC	18	13	5	0	0.02866494	0.9	0.1	0.07133506
TCGA-56-5897-01	LUSC	12	10	2	0	0.470764241	0.32	0.68	0.209235759
TCGA-56-5898-01	LUSC	28	11	17	1	0.26549844	0.36	0.64	0.37450156
TCGA-56-6545-01	LUSC	20	8	12	1	0.371616136	0.32	0.68	0.308383864
TCGA-56-6546-01	LUSC	11	8	3	0	0.451105309	0.41	0.59	0.138894691
TCGA-56-7221-01	LUSC	14	9	5	0	0.163673716	0.58	0.42	0.256326284
TCGA-56-7222-01	LUSC	25	15	10	1	0.228588622	0.53	0.47	0.241411378
TCGA-56-7223-01	LUSC	20	13	7	1	0.042790885	0.94	0.06	0.017209115
TCGA-56-7579-01	LUSC	12	10	2	0	0.322308323	0.66	0.34	0.017691677
TCGA-56-7580-01	LUSC	31	11	20	1	0.376132772	0.37	0.63	0.253867228
TCGA-56-7582-01	LUSC	23	7	16	1	0.130576552	0.62	0.38	0.249423448
TCGA-56-7730-01	LUSC	20	11	9	1	0.095371822	0.8	0.2	0.104628178
TCGA-56-7731-01	LUSC	10	6	4	0	0.508792347	0.17	0.83	0.321207653
TCGA-56-7822-01	LUSC	25	18	7	1	0.315877911	0.31	0.69	0.374122089
TCGA-56-7823-01	LUSC	8	8	0	0	0.074400258	0.92	0.08	0.005599742
TCGA-56-8082-01	LUSC	14	11	3	0	0.160965396	0.81	0.19	0.029034604
TCGA-56-8083-01	LUSC	8	5	3	0	0.019494717	0.91	0.09	0.070505283
TCGA-56-8201-01	LUSC	22	7	15	1	0.510000046	0.22	0.78	0.269999954
TCGA-56-8304-01	LUSC	13	9	4	0	0.389582899	0.54	0.46	0.070417101
TCGA-56-8305-01	LUSC	18	15	3	1	0.297849802	0.41	0.59	0.292150198
TCGA-56-8307-01	LUSC	26	6	20	1	0.352896364	0.52	0.48	0.127103636
TCGA-56-8308-01	LUSC	17	6	11	1	0.304972632	0.44	0.56	0.255027368
TCGA-56-8309-01	LUSC	12	9	3	0	0.509404225	0.31	0.69	0.180595775
TCGA-56-8503-01	LUSC	17	16	1	0	0.565728245	0.22	0.78	0.214271755
TCGA-56-8504-01	LUSC	27	21	6	2	0.317675317	0.35	0.65	0.332324683
TCGA-56-8622-01	LUSC	8	4	4	0	0.302376453	0.47	0.53	0.227623547
TCGA-56-8623-01	LUSC	0	0	0	0	0.398298971	0.96	0.04	-0.358298971
TCGA-56-8624-01	LUSC	18	12	6	1	0.281851809	0.28	0.72	0.438148191
TCGA-56-8625-01	LUSC	6	4	2	0	0.431359177	0.37	0.63	0.198640823
TCGA-56-8626-01	LUSC	14	9	5	0	0.25448072	0.4	0.6	0.34551928
TCGA-56-8628-01	LUSC	16	11	5	0	0.323966264	0.41	0.59	0.266033736
TCGA-56-8629-01	LUSC	22	13	9	1	0.168097662	0.62	0.38	0.211902338
TCGA-56-A49D-01	LUSC	18	16	2	0	0.345705557	0.56	0.44	0.094294443
TCGA-56-A4BW-01	LUSC	16	7	9	0	0.281346949	0.58	0.42	0.138653051
TCGA-56-A4BX-01	LUSC	17	10	7	1	0.057157353	0.87	0.13	0.072842647
TCGA-56-A4BY-01	LUSC	15	10	5	1	0.201455649	0.45	0.55	0.348544351
TCGA-56-A4ZJ-01	LUSC	9	5	4	0	0.391280173	0.16	0.84	0.448719827
TCGA-56-A5DS-01	LUSC	12	5	7	0	0.536961166	0.32	0.68	0.143038834
TCGA-56-A62T-01	LUSC	25	16	9	2	0.196118756	0.51	0.49	0.293881244
TCGA-58-8386-01	LUSC	20	9	11	1	0.33896523	0.35	0.65	0.31103477
TCGA-58-8387-01	LUSC	10	8	2	0	0.461174475	0.38	0.62	0.158825525
TCGA-58-8388-01	LUSC	11	8	3	0	0.167643769	0.71	0.29	0.122356231
TCGA-58-8390-01	LUSC	15	12	3	0	0.131461789	0.82	0.18	0.048538211
TCGA-58-8391-01	LUSC	14	5	9	1	0.176843423	0.62	0.38	0.203156577
TCGA-58-8393-01	LUSC	21	15	6	1	0.410423806	0.3	0.7	0.289576194
TCGA-58-A46J-01	LUSC	11	8	3	1	0.455254511	0.51	0.49	0.034745489
TCGA-58-A46K-01	LUSC	20	18	2	0	0.324570912	0.61	0.39	0.065429088
TCGA-58-A46L-01	LUSC	10	8	2	0	0.317640157	0.58	0.42	0.102359843
TCGA-58-A46M-01	LUSC	19	8	11	2	0.228091479	0.55	0.45	0.221908521
TCGA-58-A46N-01	LUSC	15	0	15	0	0.104322712	0.89	0.11	0.005677288
TCGA-60-2695-01	LUSC	22	20	2	1	0.123347835	0.81	0.19	0.066652165
TCGA-60-2697-01	LUSC	1	0	1	0	0.662047567	0.18	0.82	0.157952433
TCGA-60-2698-01	LUSC	21	14	7	2	0.285527332	0.26	0.74	0.454472668
TCGA-60-2703-01	LUSC	23	12	11	1	0.531253541	0.26	0.74	0.208746459
TCGA-60-2704-01	LUSC	27	15	12	1	0.481304924	0.21	0.79	0.308695076
TCGA-60-2706-01	LUSC	22	9	13	1	0.056840877	0.48	0.52	0.463159123
TCGA-60-2707-01	LUSC	6	4	2	0	0.027733502	0.6	0.4	0.372266498
TCGA-60-2708-01	LUSC	33	20	13	1	0.160536031	0.58	0.42	0.259463969
TCGA-60-2709-01	LUSC	31	9	22	1	0.523543536	0.15	0.85	0.326456464
TCGA-60-2710-01	LUSC	12	9	3	0	0.18234375	0.65	0.35	0.16765625
TCGA-60-2711-01	LUSC	21	9	12	1	0.811192429	0.65	0.35	-0.461192429
TCGA-60-2713-01	LUSC	13	10	3	0	0.038349921	0.63	0.37	0.331650079
TCGA-60-2714-01	LUSC	25	15	10	2	0.747301049	0.34	0.66	-0.087301049
TCGA-60-2716-01	LUSC	0	0	0	0	0.019452817	0.68	0.32	0.300547183
TCGA-60-2719-01	LUSC	14	12	2	0	0.185181332	0.79	0.21	0.024818668
TCGA-60-2720-01	LUSC	13	11	2	0	0.410402434	0.33	0.67	0.259597566
TCGA-60-2721-01	LUSC	10	8	2	0	0.041091923	0.61	0.39	0.348908077
TCGA-60-2722-01	LUSC	17	16	1	1	0.026341963	0.81	0.19	0.163658037
TCGA-60-2723-01	LUSC	21	17	4	1	0.732661394	0.39	0.61	-0.122661394
TCGA-60-2724-01	LUSC	11	10	1	0	0.029673203	0.47	0.53	0.500326797
TCGA-60-2725-01	LUSC	14	12	2	0	0.443379762	0.35	0.65	0.206620238
TCGA-60-2726-01	LUSC	21	15	6	1	0.267829416	0.48	0.52	0.252170584
TCGA-63-5128-01	LUSC	24	13	11	1	0.099441218	0.72	0.28	0.180558782
TCGA-63-5131-01	LUSC	16	8	8	1	0.237611682	0.54	0.46	0.222388318
TCGA-63-6202-01	LUSC	15	8	7	1	0.384262596	0.42	0.58	0.195737404
TCGA-63-7020-01	LUSC	31	15	16	1	0.272527545	0.48	0.52	0.247472455
TCGA-63-7021-01	LUSC	6	5	1	0	0.513351846	0.26	0.74	0.226648154
TCGA-63-7022-01	LUSC	4	2	2	0	0.527266026	0.22	0.78	0.252733974
TCGA-63-7023-01	LUSC	12	10	2	0	0.137881323	0.85	0.15	0.012118677
TCGA-63-A5M9-01	LUSC	19	10	9	1	0.196599272	0.6	0.4	0.203400728
TCGA-63-A5MB-01	LUSC	19	11	8	1	0.143822835	0.65	0.35	0.206177165
TCGA-63-A5MG-01	LUSC	11	9	2	0	0.556005194	0.31	0.69	0.133994806
TCGA-63-A5MH-01	LUSC	19	18	1	0	0.116482992	0.91	0.09	-0.026482992
TCGA-63-A5MI-01	LUSC	19	8	11	1	0.271287764	0.47	0.53	0.258712236
TCGA-63-A5MJ-01	LUSC	23	7	16	1	0.201516854	0.44	0.56	0.358483146
TCGA-63-A5ML-01	LUSC	22	16	6	1	0.119256339	0.71	0.29	0.170743661
TCGA-63-A5MM-01	LUSC	5	3	2	0	0.449481028	0.35	0.65	0.200518972
TCGA-63-A5MN-01	LUSC	6	5	1	0	0.603100578	0.2	0.8	0.196899422
TCGA-63-A5MP-01	LUSC	13	10	3	1	0.385613885	0.33	0.67	0.284386115
TCGA-63-A5MR-01	LUSC	21	11	10	1	0.440644539	0.32	0.68	0.239355461
TCGA-63-A5MS-01	LUSC	24	11	13	1	0.43264345	0.2	0.8	0.36735655
TCGA-63-A5MT-01	LUSC	9	8	1	0	0.407995373	0.39	0.61	0.202004627
TCGA-63-A5MU-01	LUSC	16	5	11	2	0.095801814	0.81	0.19	0.094198186
TCGA-63-A5MV-01	LUSC	13	4	9	0	0.52722449	0.35	0.65	0.12277551
TCGA-63-A5MW-01	LUSC	19	9	10	1	0.129799308	0.66	0.34	0.210200692
TCGA-63-A5MY-01	LUSC	10	7	3	0	0.146788072	0.85	0.15	0.003211928
TCGA-66-2727-01	LUSC	15	10	5	1	0.208792627	0.47	0.53	0.321207373
TCGA-66-2734-01	LUSC	14	12	2	0	0.885870222	0.36	0.64	-0.245870222
TCGA-66-2737-01	LUSC	6	4	2	0	0.229292383	0.48	0.52	0.290707617
TCGA-66-2742-01	LUSC	21	10	11	1	0.057135774	0.44	0.56	0.502864226
TCGA-66-2744-01	LUSC	9	1	8	1	0.374178018	0.37	0.63	0.255821982
TCGA-66-2753-01	LUSC	18	17	1	1	0.233879206	0.39	0.61	0.376120794
TCGA-66-2754-01	LUSC	12	10	2	1	0.093428435	0.87	0.13	0.036571565
TCGA-66-2755-01	LUSC	17	10	7	1	0.396114323	0.3	0.7	0.303885677
TCGA-66-2756-01	LUSC	24	18	6	2	0.061262079	0.71	0.29	0.228737921
TCGA-66-2757-01	LUSC	15	11	4	0	0.845045813	0.86	0.14	-0.705045813
TCGA-66-2758-01	LUSC	16	10	6	1	0.236165587	0.5	0.5	0.263834413
TCGA-66-2759-01	LUSC	19	10	9	1	0.072978495	0.5	0.5	0.427021505
TCGA-66-2763-01	LUSC	8	6	2	0	0.220775677	0.67	0.33	0.109224323
TCGA-66-2765-01	LUSC	10	6	4	0	0.31167019	0.51	0.49	0.17832981
TCGA-66-2766-01	LUSC	13	8	5	1	0.030682204	0.75	0.25	0.219317796
TCGA-66-2767-01	LUSC	19	7	12	1	0.364985199	0.27	0.73	0.365014801
TCGA-66-2768-01	LUSC	6	5	1	0	0.351609178	0.57	0.43	0.078390822
TCGA-66-2769-01	LUSC	20	7	13	1	0.032235383	0.32	0.68	0.647764617
TCGA-66-2770-01	LUSC	9	9	0	0	0.239907418	0.64	0.36	0.120092582
TCGA-66-2771-01	LUSC	11	9	2	0	0.450075542	0.44	0.56	0.109924458
TCGA-66-2773-01	LUSC	20	14	6	1	0.314263286	0.41	0.59	0.275736714
TCGA-66-2777-01	LUSC	27	11	16	1	0.02803113	0.3	0.7	0.67196887
TCGA-66-2778-01	LUSC	10	7	3	0	0.526158679	0.38	0.62	0.093841321
TCGA-66-2780-01	LUSC	16	14	2	0	0.371658517	0.47	0.53	0.158341483
TCGA-66-2781-01	LUSC	22	11	11	1	0.338517319	0.4	0.6	0.261482681
TCGA-66-2782-01	LUSC	13	12	1	0	0.371220708	0.52	0.48	0.108779292
TCGA-66-2783-01	LUSC	11	7	4	0	0.24896558	0.57	0.43	0.18103442
TCGA-66-2785-01	LUSC	17	10	7	1	0.051236647	0.4	0.6	0.548763353
TCGA-66-2786-01	LUSC	16	14	2	0	0.254591939	0.57	0.43	0.175408061
TCGA-66-2787-01	LUSC	24	12	12	1	0.336793767	0.36	0.64	0.303206233
TCGA-66-2788-01	LUSC	12	8	4	0	0.442615156	0.41	0.59	0.147384844
TCGA-66-2789-01	LUSC	14	9	5	0	0.083247167	0.55	0.45	0.366752833
TCGA-66-2790-01	LUSC	12	10	2	0	0.236558119	0.57	0.43	0.193441881
TCGA-66-2791-01	LUSC	13	13	0	0	0.316537108	0.45	0.55	0.233462892
TCGA-66-2792-01	LUSC	23	14	9	1	0.09697893	0.66	0.34	0.24302107
TCGA-66-2793-01	LUSC	26	10	16	1	0.030804428	0.85	0.15	0.119195572
TCGA-66-2794-01	LUSC	10	4	6	0	0.074380184	0.64	0.36	0.285619816
TCGA-66-2795-01	LUSC	8	6	2	0	0.18360022	0.66	0.34	0.15639978
