ID	Description	GeneRatio	BgRatio	pvalue	qvalue	genes	geneID	Count	clusters	generatio	bgratio
WP3888	VEGFA-VEGFR2 Signaling Pathway	12/236	236/22000	2.40137484113e-05	0.000280915547452	NCF1; STAT1; NOTCH4; NR4A3; PRKCB; MEF2C; FOXO1; ETS1; DLL4; ICAM1; JAG1; CAV1	8013/182/4208/2308/3383/5579/6772/857/653361/2113/54567/4855	12	2	0.0508474576271186	0.0107272727272727
Pathway_TGF_beta_Receptor	TGF_beta_Receptor	10/174	173/22000	3.97689733927e-05	0.000388048325483	TGFB2; TGFB3; ENG; MEF2C; FOXO1; ETS1; DAB2; ZEB2; ZEB1; CAV1	9839/7042/1601/857/2022/2308/4208/7043/6935/2113	10	2	0.0574712643678161	0.00786363636363636
WP3995	Prion disease pathway	5/33	33/22000	3.97926954006e-05	0.000388048325483	MEF2C; SPI1; PRNP; EBF1; FGFR1	4208/5621/2260/1879/6688	5	2	0.151515151515152	0.0015
path:hsa04010	MAPK signaling pathway - Homo sapiens (human)	13/295	295/22000	4.88878776862e-05	0.000452395286051	TGFA; IGF2; TGFB2; TGFB3; PRKCB; KIT; MEF2C; FASLG; FLNA; HGF; RELB; IL1B; FGFR1	3082/4208/2260/3815/2316/5971/356/7039/7042/7043/3481/5579/3553	13	2	0.0440677966101695	0.0134090909090909
WP474	Endochondral Ossification	6/63	63/22000	9.78867737556e-05	0.000809197329713	IGF2; TGFB2; STAT1; MEF2C; SPP1; FGFR1	4208/2260/3481/7042/6772/6696	6	2	0.0952380952380952	0.00286363636363636
path:hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)	7/92	92/22000	0.000108124446243	0.000870612424297	STAT4; STAT1; NOTCH3; CD4; DLL4; JAG1; CD3D	182/6772/6775/4854/54567/920/915	7	2	0.0760869565217391	0.00418181818181818
path:hsa04510	Focal adhesion - Homo sapiens (human)	10/199	199/22000	0.000128540867224	0.000983893057761	ACTN1; PRKCB; VAV1; ITGA3; SPP1; RELN; COL1A1; HGF; FLNA; CAV1	3082/5649/6696/2316/87/3675/7409/1277/857/5579	10	2	0.050251256281407	0.00904545454545455
WP437	EGF-EGFR Signaling Pathway	9/162	162/22000	0.000132022934042	0.000998222184223	STAT1; PLSCR1; VAV1; PRKCB; MEF2C; TWIST1; FOXO1; MYBL2; CAV1	4605/2308/5579/6772/857/4208/7409/7291/5359	9	2	0.0555555555555556	0.00736363636363636
Pathway_BCR	BCR	8/129	129/22000	0.000147397761556	0.00106263502517	STAT1; VAV1; PRKCB; SLA2; FOXO1; HCLS1; HCK; BTK	3059/2308/6772/84174/3055/5579/7409/695	8	2	0.062015503875969	0.00586363636363636
WP23	B Cell Receptor Signaling Pathway	7/98	98/22000	0.000160936498925	0.00109301416126	VAV1; PRKCB; MEF2C; FOXO1; ETS1; HCLS1; BTK	695/4208/2308/5579/2113/7409/3059	7	2	0.0714285714285714	0.00445454545454545
WP366	TGF-beta Signaling Pathway	8/132	132/22000	0.000172831398597	0.00113478264904	FOXP3; MEF2C; ETS1; DAB2; TGFB1I1; ZEB2; ZEB1; CAV1	9839/7041/4208/6935/857/2113/50943/1601	8	2	0.0606060606060606	0.006
WP3668	Hypothesized Pathways in Pathogenesis of Cardiovascular Disease	4/25	25/22000	0.000197750512621	0.00126397234871	FLNA; ENG; SERPINE1; FBN1	5054/2200/2316/2022	4	2	0.16	0.00113636363636364
WP1591	Heart Development	5/47	47/22000	0.000225054806151	0.00140943413953	MEF2C; TBX2; FOXC2; HAND2; BHLHE40	4208/6909/9464/2303/8553	5	2	0.106382978723404	0.00213636363636364
WP2848	Differentiation Pathway	5/48	48/22000	0.000248844727622	0.00150529915762	HGF; WNT2; TGFB3; IL6; KIT	7472/3082/3815/7043/3569	5	2	0.104166666666667	0.00218181818181818
WP3932	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	12/302	302/22000	0.000252501794182	0.00150529915762	ITGB2; ITGA3; KIT; F2R; FOXO1; CREB3L1; OSM; RELN; COL1A1; HGF; SPP1; FGFR1	5008/3675/2260/3815/1277/2308/2149/3082/3689/6696/5649/90993	12	2	0.0397350993377483	0.0137272727272727
alkpathway	alk in cardiac myocytes	4/27	27/22000	0.000269339781017	0.00154620985398	MEF2C; TGFB2; CHRD; TGFB3	8646/4208/7043/7042	4	2	0.148148148148148	0.00122727272727273
path:hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	7/112	112/22000	0.000367154334416	0.00196237661498	NCF1; ITGB2; VAV1; PRKCB; ACTN1; RHOH; ICAM1	653361/87/3689/7409/3383/399/5579	7	2	0.0625	0.00509090909090909
WP2870	Extracellular vesicle-mediated signaling in recipient cells	4/30	30/22000	0.000409126955975	0.00214965010767	TGFA; HGF; TGFB2; TGFB3	7039/3082/7043/7042	4	2	0.133333333333333	0.00136363636363636
WP3892	Development of pulmonary dendritic cells and macrophage subsets	3/13	13/22000	0.000428011752302	0.00219311806965	TCF4; SPI1; IKZF1	10320/6688/6925	3	2	0.230769230769231	0.000590909090909091
WP2857	Mesodermal Commitment Pathway	8/153	153/22000	0.000470958337414	0.00234613713485	TCF4; ACVR1; BHLHE40; SOX17; CHRD; SNAI1; FOXC2; FGFR1	90/2260/6925/6615/64321/8553/8646/2303	8	2	0.0522875816993464	0.00695454545454545
path:hsa04350	TGF-beta signaling pathway - Homo sapiens (human)	6/85	85/22000	0.000508846186565	0.00250384631485	DCN; TGFB2; TGFB3; ACVR1; NBL1; CHRD	7042/7043/8646/4681/90/1634	6	2	0.0705882352941176	0.00386363636363636
None	BMP2 signaling TGF-beta MV	5/56	56/22000	0.000514475811832	0.0025116141995	TGFB2; TGFB3; ACVR1; ZNF423; ACVRL1	23090/7043/7042/90/94	5	2	0.0892857142857143	0.00254545454545455
R-HSA-3000178	ECM proteoglycans	5/57	57/22000	0.000558615371309	0.0026237994713	DCN; TGFB2; TGFB3; LUM; SERPINE1	4060/1634/7043/5054/7042	5	2	0.087719298245614	0.00259090909090909
None	Integrin	7/124	124/22000	0.000677970777349	0.00306818891939	DCN; ITGB2; VAV1; ITGA3; COL1A1; LUM; CAV1	1634/4060/1277/857/3675/3689/7409	7	2	0.0564516129032258	0.00563636363636364
WP3937	Microglia Pathogen Phagocytosis Pathway	4/40	40/22000	0.0012446157684	0.00491504316184	VAV1; HCK; NCF1; ITGB2	653361/3055/3689/7409	4	2	0.1	0.00181818181818182
R-HSA-9013508	NOTCH3 Intracellular Domain Regulates Transcription	3/20	20/22000	0.00160531241708	0.00606886401579	PLXND1; STAT1; NOTCH3	6772/23129/4854	3	2	0.15	0.000909090909090909
None	EPO signaling	8/186	185/22000	0.00161871829004	0.00608245660498	ACVRL1; ACVR1; STAT1; PLK3; PRKCB; KIT; BTK; FGFR1	2260/3815/1263/6772/94/5579/90/695	8	2	0.043010752688172	0.00840909090909091
None	TGF-beta super family signaling pathway canonical	6/115	115/22000	0.00244945133372	0.00825358601581	TGFB2; ACVRL1; ACVR1; TGFB3; PSMB9; PSMB8	7042/5698/5696/94/7043/90	6	2	0.0521739130434783	0.00522727272727273
WP2406	Cardiac Progenitor Differentiation	4/53	53/22000	0.00354080547842	0.0112005071256	MEF2C; IGF2; KIT; SOX17	4208/64321/3815/3481	4	2	0.0754716981132075	0.00240909090909091
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	12/423	423/22000	0.00451347410726	0.0139917697325	IGF2; NCF1; ITGA3; STAT1; VAV1; PRKCB; KIT; MEF2C; SPP1; HGF; FGFR1; CAV1	3082/6696/6772/4208/5579/7409/3675/857/653361/2260/3815/3481	12	2	0.0283687943262411	0.0192272727272727
fcer1pathway	fc epsilon receptor i signaling in mast cells	3/29	29/22000	0.00475976882511	0.0143255178232	VAV1; PRKCB; BTK	7409/5579/695	3	2	0.103448275862069	0.00131818181818182
path:hsa05215	Prostate cancer - Homo sapiens (human)	5/97	97/22000	0.00589274147971	0.0173392403388	TGFA; FOXO1; CREB3L1; ZEB1; FGFR1	90993/2260/2308/6935/7039	5	2	0.0515463917525773	0.00440909090909091
WP3355	BMAL1-CLOCK,NPAS2 activates circadian gene expression	2/10	10/22000	0.00590093501853	0.0173392403388	BHLHE40; SERPINE1	8553/5054	2	2	0.2	0.000454545454545455
R-HSA-8941326	RUNX2 regulates bone development	3/32	32/22000	0.00629590310953	0.0181429207029	GLI2; ZNF521; COL1A1	1277/2736/25925	3	2	0.09375	0.00145454545454545
None	IL-7 signaling	7/185	184/22000	0.00632075947068	0.0181429207029	ACVRL1; ACVR1; PLK3; PRKCB; KIT; BTK; FGFR1	2260/3815/1263/94/5579/90/695	7	2	0.0378378378378378	0.00836363636363636
path:hsa04014	Ras signaling pathway - Homo sapiens (human)	8/232	232/22000	0.00642411710566	0.0183546203019	TGFA; IGF2; PRKCB; KIT; ETS1; FASLG; HGF; FGFR1	3082/2113/2260/3815/356/7039/3481/5579	8	2	0.0344827586206897	0.0105454545454545
WP4241	Type 2 papillary renal cell carcinoma	3/34	34/22000	0.00746594342163	0.0200384628632	TGFA; TGFB2; TGFB3	7043/7039/7042	3	2	0.0882352941176471	0.00154545454545455
WP2324	AGE-RAGE pathway	4/66	66/22000	0.00774230479444	0.020513799028	FOXO1; PRKCB; NCF1; STAT1	2308/5579/653361/6772	4	2	0.0606060606060606	0.003
path:hsa05221	Acute myeloid leukemia - Homo sapiens (human)	4/66	66/22000	0.00774230479444	0.020513799028	RUNX1T1; SPI1; PIM2; KIT	6688/11040/862/3815	4	2	0.0606060606060606	0.003
Pathway_EGFR1	EGFR1	12/457	455/22000	0.00793032167379	0.0209225507989	CEBPB; ACTN1; ITGA3; STAT1; PLSCR1; VAV1; PRKCB; CAVIN1; KIT; FOXO1; DAB2; CAV1	87/1051/6772/1601/2308/5579/7409/284119/857/3675/3815/5359	12	2	0.0262582056892779	0.0206818181818182
None	FGF	4/67	67/22000	0.00815947329824	0.0213454575735	SPI1; FLI1; ETS1; FGFR1	2260/6688/2113/2313	4	2	0.0597014925373134	0.00304545454545455
WP3614	Photodynamic therapy-induced HIF-1 survival signaling	3/36	36/22000	0.00875622064244	0.022433292555	TGFA; TGFB3; SERPINE1	5054/7039/7043	3	2	0.0833333333333333	0.00163636363636364
R-HSA-1566948	Elastic fibre formation	3/36	36/22000	0.00875622064244	0.022433292555	TGFB2; TGFB3; FBN1	7043/7042/2200	3	2	0.0833333333333333	0.00163636363636364
Pathway_KitReceptor	KitReceptor	4/70	70/22000	0.00949867510177	0.0240374635229	HCK; PRKCB; STAT1; KIT	3815/3055/6772/5579	4	2	0.0571428571428571	0.00318181818181818
WP3944	Serotonin and anxiety-related events	2/13	13/22000	0.00999277668759	0.0244882274558	PRKCB; PLEK	5341/5579	2	2	0.153846153846154	0.000590909090909091
R-HSA-1280215	Cytokine Signaling in Immune system	26/458	458/22000	2.54460204487e-11	7.88826633908e-09	CD40LG; CD4; PTAFR; IL1B; IL6; DDX58; STAT4; PELI1; STAT1; CIITA; TNFSF8; OSM; ICAM1; RELB; TRIM22; LGALS9; FASLG; IL33; HGF; HCK; IRF1; VAV1; IL16; MEF2C; PSMB8; HAVCR2	959/57162/3553/10346/3603/23586/3965/920/6772/3055/944/4208/90865/7409/3082/3383/3569/5724/84868/4261/3659/5971/5008/6775/5696/356	26	3	0.0567685589519651	0.0208181818181818
WP4066	Interleukin-4 and Interleukin-13 signaling	13/97	97/22000	1.08228609701e-10	2.23672460048e-08	ITGB2; STAT1; TWIST1; S1PR1; IL6; FOXO1; OSM; ICAM1; HGF; FASLG; IL1B; ZEB1; MUC1	3553/3569/2308/5008/6935/6772/1901/3082/7291/3689/3383/356/4582	13	3	0.134020618556701	0.00440909090909091
WP236	Adipogenesis	13/131	131/22000	4.77468387767e-09	5.171709103e-07	MEF2C; CEBPB; STAT1; SFRP4; FZD1; TWIST1; PTGIS; SERPINE1; IL6; FOXO1; OSM; EBF1; FOXC2	5740/3569/4208/8321/2308/2303/5008/6424/6772/1879/7291/5054/1051	13	3	0.099236641221374	0.00595454545454545
path:hsa05144	Malaria - Homo sapiens (human)	9/49	49/22000	5.0048797771e-09	5.171709103e-07	IL6; TGFB2; TGFB3; CD40LG; TLR2; ITGB2; ICAM1; HGF; IL1B	7043/3082/7042/7097/959/3383/3553/3689/3569	9	3	0.183673469387755	0.00222727272727273
WP619	Type II interferon signaling (IFNG)	8/37	37/22000	9.36319529953e-09	7.25647635713e-07	IRF1; SPI1; PSMB9; STAT1; CIITA; ICAM1; CXCL10; IL1B	4261/3659/3383/6688/3627/3553/6772/5698	8	3	0.216216216216216	0.00168181818181818
WP4462	Platelet-mediated interactions with vascular and circulating cells	5/12	12/22000	1.62349766641e-07	6.71045702117e-06	IL1B; TGFB3; CD40LG; TGFB2; ICAM1	959/3553/3383/7043/7042	5	3	0.416666666666667	0.000545454545454545
path:hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	10/99	99/22000	2.57737939925e-07	9.69865694823e-06	TGFB2; TGFB3; STAT1; PRKCB; IL6; FOXO1; ICAM1; COL1A1; IL1B; SERPINE1	2308/6772/1277/3383/3553/7042/7043/5054/5579/3569	10	3	0.101010101010101	0.0045
WP2865	IL1 and megakaryocytes in obesity	6/24	24/22000	2.83755631078e-07	9.77380507047e-06	NLRP3; TLR2; F2R; S100A9; ICAM1; IL1B	114548/7097/3553/3383/6280/2149	6	3	0.25	0.00109090909090909
R-HSA-449147	Signaling by Interleukins	15/254	254/22000	3.36292192421e-07	1.09737452264e-05	IL6; STAT4; PELI1; STAT1; VAV1; IL16; CD4; LGALS9; OSM; IL33; HGF; HCK; IL1B; MEF2C; HAVCR2	3965/920/3569/84868/57162/6772/3553/3082/4208/5008/3603/6775/90865/3055/7409	15	3	0.0590551181102362	0.0115454545454545
None	JAK STAT pathway and regulation	16/310	309/22000	7.86214563521e-07	2.43726514691e-05	STAT4; CD40LG; STAT1; PLK3; PRKCB; IL16; KIT; IL6; ACVRL1; FASLG; PSMB9; PSMB8; ACVR1; IL1B; BTK; FGFR1	3553/5698/2260/3815/1263/6772/3569/6775/5696/94/356/5579/959/90/3603/695	16	3	0.0516129032258065	0.0140454545454545
path:hsa05164	Influenza A - Homo sapiens (human)	12/171	171/22000	8.70923651604e-07	2.57129839997e-05	DDX58; NLRP3; STAT1; CIITA; PRKCB; IL6; FASLG; IL33; ICAM1; PYCARD; CXCL10; IL1B	23586/3627/3383/114548/6772/4261/90865/356/3569/29108/5579/3553	12	3	0.0701754385964912	0.00777272727272727
path:hsa05321	Inflammatory bowel disease (IBD) - Homo sapiens (human)	8/65	65/22000	9.24680148636e-07	2.60591678252e-05	FOXP3; TGFB2; TGFB3; STAT1; TLR2; IL6; STAT4; IL1B	7043/7042/7097/50943/3553/3569/6772/6775	8	3	0.123076923076923	0.00295454545454545
path:hsa05323	Rheumatoid arthritis - Homo sapiens (human)	9/90	89/22000	1.03471017974e-06	2.78921874538e-05	IL6; TGFB2; CD28; CD86; TLR2; ITGB2; ICAM1; IL1B; TGFB3	3689/3383/7042/7043/940/942/7097/3553/3569	9	3	0.1	0.00404545454545455
path:hsa05146	Amoebiasis - Homo sapiens (human)	9/96	95/22000	1.80059948644e-06	4.65154867329e-05	IL6; ACTN1; ITGB2; PRKCB; TGFB2; TLR2; TGFB3; COL1A1; IL1B	87/3689/1277/7042/7043/7097/5579/3553/3569	9	3	0.09375	0.00431818181818182
path:hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)	12/186	185/22000	2.00269820227e-06	4.96669154162e-05	CEBPB; SPI1; ETV7; NR4A3; FLI1; BCL11B; MEF2C; IL6; FOXO1; RUNX1T1; CD86; ZEB1	1051/6688/4208/6935/2308/2313/51513/862/64919/3569/942/8013	12	3	0.0645161290322581	0.00840909090909091
path:hsa05140	Leishmaniasis - Homo sapiens (human)	8/74	73/22000	2.27316619472e-06	5.42062707972e-05	TGFB2; TGFB3; STAT1; PRKCB; NCF1; TLR2; ITGB2; IL1B	7043/7042/653361/5579/7097/3553/3689/6772	8	3	0.108108108108108	0.00331818181818182
WP4063	Interleukin-10 signaling	6/38	38/22000	5.075244397e-06	0.000108505225039	CD86; IL6; PTAFR; ICAM1; CXCL10; IL1B	3553/3383/5724/3627/3569/942	6	3	0.157894736842105	0.00172727272727273
path:hsa04668	TNF signaling pathway - Homo sapiens (human)	9/110	110/22000	6.11873142395e-06	0.000122374628479	CEBPB; IRF1; TNFAIP3; IL6; CREB3L1; ICAM1; CXCL10; IL1B; JAG1	1051/3627/182/3659/3383/90993/7128/3553/3569	9	3	0.0818181818181818	0.005
WP3945	TYROBP Causal Network	7/60	60/22000	6.54002411634e-06	0.000126712967254	ITGB2; CD4; SPP1; HCLS1; PYCARD; PLEK; ELF4	3059/3689/5341/29108/2000/920/6696	7	3	0.116666666666667	0.00272727272727273
WP1449	Regulation of toll-like receptor signaling pathway	10/143	143/22000	7.57301456124e-06	0.000142280879635	TLR2; PELI1; STAT1; TNFAIP3; CD86; IL6; SPP1; CXCL10; IL1B; BTK	3553/7128/3569/695/6772/7097/6696/57162/3627/942	10	3	0.0699300699300699	0.0065
path:hsa05161	Hepatitis B - Homo sapiens (human)	10/144	144/22000	8.0563764481e-06	0.000146910394054	TLR2; DDX58; STAT4; STAT1; PRKCB; TGFB2; IL6; CREB3L1; FASLG; TGFB3	23586/6772/6775/3569/356/90993/7042/7043/7097/5579	10	3	0.0694444444444444	0.00654545454545455
path:hsa05152	Tuberculosis - Homo sapiens (human)	11/179	178/22000	8.62861971035e-06	0.000152849834869	CD74; CEBPB; TGFB2; ITGB2; STAT1; CIITA; PLK3; IL6; TGFB3; TLR2; IL1B	1051/3689/6772/7042/4261/1263/7043/3553/3569/7097/972	11	3	0.0614525139664804	0.00809090909090909
path:hsa04623	Cytosolic DNA-sensing pathway - Homo sapiens (human)	7/63	63/22000	9.0948923044e-06	0.000156634256354	DDX58; AIM2; IL6; IL33; PYCARD; CXCL10; IL1B	90865/23586/3627/29108/3553/9447/3569	7	3	0.111111111111111	0.00286363636363636
WP3624	Lung fibrosis	7/64	64/22000	1.01112262916e-05	0.000165651456345	TGFA; CEBPB; GREM1; IL6; SPP1; HGF; IL1B	1051/7039/3553/3082/26585/3569/6696	7	3	0.109375	0.00290909090909091
R-HSA-1474244	Extracellular matrix organization	14/294	294/22000	1.04200109636e-05	0.000165651456345	DCN; ACTN1; TGFB2; ITGB2; ITGA3; LOXL2; LUM; SERPINE1; TGFB3; SPP1; ICAM1; COL1A1; FBN1; HTRA1	1634/7042/4060/1277/5054/5654/3675/6696/4017/2200/3689/3383/7043/87	14	3	0.0476190476190476	0.0133636363636364
path:hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	14/294	294/22000	1.04200109636e-05	0.000165651456345	CD4; TGFB2; ACVRL1; ACVR1; CD40LG; IL16; IL6; TGFB3; FASLG; IL33; OSM; CXCL10; IL1B; TNFSF8	3603/90/3627/94/90865/7042/356/7043/5008/3569/944/920/959/3553	14	3	0.0476190476190476	0.0133636363636364
path:hsa05166	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	12/219	219/22000	1.13765212386e-05	0.000176336079199	IL6; TGFB2; SPI1; CD3D; ITGB2; CD4; ETS1; FOSL1; ICAM1; RELB; TGFB3; CREB3L1	7042/6688/2113/90993/3689/3383/8061/7043/915/920/3569/5971	12	3	0.0547945205479452	0.00995454545454545
path:hsa04657	IL-17 signaling pathway - Homo sapiens (human)	8/93	93/22000	1.41017780589e-05	0.00020332796271	CEBPB; TNFAIP3; IL6; FOSL1; S100A8; CXCL10; S100A9; IL1B	1051/3627/6279/6280/3553/8061/7128/3569	8	3	0.0860215053763441	0.00422727272727273
WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	7/68	68/22000	1.51667708639e-05	0.000210254508237	IL6; CD40LG; STAT1; PRKCB; TLR2; ETS1; RELB	959/7097/2113/5971/5579/3569/6772	7	3	0.102941176470588	0.00309090909090909
path:hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	8/95	94/22000	1.52604078559e-05	0.000210254508237	DDX58; CD40LG; PRKCB; TNFAIP3; ICAM1; RELB; IL1B; BTK	23586/959/695/3383/5971/5579/7128/3553	8	3	0.0842105263157895	0.00427272727272727
WP2203	Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway	6/47	47/22000	1.80793290078e-05	0.000238493276273	STAT4; STAT1; IL6; RELB; HCK; BTK	695/3055/3569/6775/6772/5971	6	3	0.127659574468085	0.00213636363636364
path:hsa04380	Osteoclast differentiation - Homo sapiens (human)	9/128	127/22000	1.96846088566e-05	0.000249070561043	NCF1; LILRB4; STAT1; TGFB2; SPI1; FOSL1; RELB; IL1B; BTK	6688/653361/6772/695/11006/7042/3553/5971/8061	9	3	0.0703125	0.00577272727272727
WP2849	Hematopoietic Stem Cell Differentiation	6/49	49/22000	2.30902264675e-05	0.000279988100317	SPI1; VAV1; FLI1; IL6; IL1B; IKZF1	10320/6688/3553/3569/2313/7409	6	3	0.122448979591837	0.00222727272727273
path:hsa05162	Measles - Homo sapiens (human)	9/132	131/22000	2.52239459248e-05	0.000289608268026	IL6; DDX58; CD28; STAT1; TNFAIP3; TLR2; FASLG; IL1B; CD3D	23586/356/6772/915/940/7097/7128/3553/3569	9	3	0.0681818181818182	0.00595454545454545
Pathway_IL6	IL6	7/74	74/22000	2.65319969551e-05	0.000293747109146	CEBPB; STAT1; VAV1; IL6; FOXO1; HCK; BTK	3569/6772/3055/2308/1051/7409/695	7	3	0.0945945945945946	0.00336363636363636
path:hsa05142	Chagas disease (American trypanosomiasis) - Homo sapiens (human)	8/102	102/22000	2.77559826232e-05	0.000301907179411	IL6; TGFB2; TGFB3; TLR2; FASLG; IL1B; CD3D; SERPINE1	7042/7043/356/915/7097/5054/3553/3569	8	3	0.0784313725490196	0.00463636363636364
WP4298	Viral Acute Myocarditis	7/76	76/22000	3.16009566197e-05	0.000335818371785	CD4; ITGB2; CD40LG; STAT1; IL6; PYCARD; CAV1	959/857/3689/3569/6772/29108/920	7	3	0.0921052631578947	0.00345454545454545
path:hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)	8/104	104/22000	3.19569095731e-05	0.000335818371785	IRF1; STAT1; NLRP3; PLK3; IL6; PYCARD; RELB; IL1B	3659/6772/1263/3553/5971/114548/29108/3569	8	3	0.0769230769230769	0.00472727272727273
WP4149	White fat cell differentiation	5/32	32/22000	3.40874600742e-05	0.000352237087434	CEBPB; FOXO1; ZNF423; EBF1; NR2F2	23090/1879/1051/2308/7026	5	3	0.15625	0.00145454545454545
WP2593	JAK-STAT	8/106	106/22000	3.66771863839e-05	0.000372784517344	IGF2; IRF1; STAT1; VAV1; TWIST1; FOXO1; FLNA; IL1B	3659/3553/3481/2316/2308/6772/7409/7291	8	3	0.0754716981132075	0.00481818181818182
WP560	TGF-beta Receptor Signaling	6/55	55/22000	4.51482620623e-05	0.00043064496121	STAT1; ENG; SPP1; ZNF423; SERPINE1; ZEB2	5054/9839/23090/6772/2022/6696	6	3	0.109090909090909	0.0025
path:hsa05143	African trypanosomiasis - Homo sapiens (human)	5/35	34/22000	4.62102198851e-05	0.000434096004981	IL6; IL1B; PRKCB; FASLG; ICAM1	3383/5579/3553/356/3569	5	3	0.142857142857143	0.00154545454545455
WP3617	Photodynamic therapy-induced NF-kB survival signaling	5/35	35/22000	5.33997885606e-05	0.000486880425111	IL6; RELB; IL1B; CD40LG; ICAM1	959/3553/3383/3569/5971	5	3	0.142857142857143	0.00159090909090909
WP3926	ApoE and miR-146 in inflammation and atherosclerosis	3/8	8/22000	8.75429944851e-05	0.000743515843572	TLR2; SPI1; APOE	7097/6688/348	3	3	0.375	0.000363636363636364
WP3599	Transcription factor regulation in adipogenesis	4/22	22/22000	0.000117559406912	0.000922618130196	TWIST1; CEBPB; FOXO1; IL6	1051/7291/2308/3569	4	3	0.181818181818182	0.001
