,Pval,Mean1,Mean2,FC_Mean,Padjust
ZNF169,5.03E-106,-0.033,0.034,-0.067,1.63E-105
ITGB2,4.21E-106,0.036,-0.036,0.073,1.4E-105
CD86,8.13E-107,0.035,-0.039,0.074,2.76E-106
GLI4,8.34E-108,-0.037,0.038,-0.075,2.89E-107
ICAM1,3.62E-110,0.037,-0.038,0.075,1.28E-109
ZNF19,4.93E-112,-0.038,0.035,-0.073,1.79E-111
TGFB2,2.68E-112,0.038,-0.041,0.079,9.94E-112
PLEK,1.72E-114,0.039,-0.037,0.075,6.56E-114
ELP6,6.47E-118,-0.039,0.038,-0.077,2.52E-117
NLRP3,6.95E-120,0.035,-0.037,0.072,2.78E-119
CYR61,4.7E-120,0.041,-0.044,0.085,1.93E-119
CDK5RAP3,4E-120,-0.035,0.04,-0.075,1.69E-119
CAV1,2.9E-120,0.039,-0.044,0.083,1.26E-119
VGLL3,2.32E-122,0.038,-0.04,0.079,1.03E-121
ALKBH4,8.46E-123,-0.041,0.035,-0.076,3.88E-122
RECQL5,7.96E-123,-0.038,0.033,-0.072,3.76E-122
CAVIN1,1.13E-123,0.038,-0.042,0.08,5.49E-123
IL16,2.25E-124,0.04,-0.041,0.081,1.13E-123
DAB2,1.97E-124,0.039,-0.042,0.081,1.02E-123
PAXBP1,7.98E-126,-0.037,0.038,-0.075,4.29E-125
TRIM52,1.39E-127,-0.039,0.045,-0.084,7.76E-127
HAVCR2,5E-128,0.037,-0.038,0.075,2.89E-127
TFEC,1.08E-128,0.038,-0.041,0.079,6.48E-128
DKK3,6.95E-129,0.039,-0.038,0.078,4.34E-128
LILRB4,5.24E-129,0.039,-0.041,0.08,3.41E-128
BNC2,1.53E-129,0.045,-0.037,0.082,1.03E-128
BOLA1,1.77E-131,-0.043,0.042,-0.085,1.25E-130
TGFB1I1,2.82E-132,0.036,-0.041,0.077,2.1E-131
ACVRL1,6.99E-136,0.038,-0.045,0.083,5.45E-135
ZNF354B,2.15E-138,-0.04,0.035,-0.075,1.77E-137
HSF4,1.37E-139,-0.036,0.039,-0.075,1.19E-138
CD4,8.85E-140,0.044,-0.043,0.087,8.12E-139
SPI1,4.82E-141,0.041,-0.044,0.085,4.7E-140
FLI1,4.29E-146,0.042,-0.043,0.085,4.46E-145
KAT2A,1.87E-146,-0.038,0.039,-0.077,2.08E-145
CMKLR1,7.5E-150,0.046,-0.039,0.085,9E-149
ZNF692,2.97E-163,-0.039,0.041,-0.08,3.86E-162
FOXC2,1.15E-165,0.045,-0.048,0.094,1.63E-164
ANKRD49,2.33E-168,-0.049,0.045,-0.094,3.63E-167
MSC,1.27E-168,0.044,-0.048,0.093,2.2E-167
GREM1,2.08E-170,0.049,-0.044,0.093,4.06E-169
ZEB2,7.09E-181,0.046,-0.05,0.095,1.58E-179
ZNF789,2.54E-207,-0.049,0.049,-0.098,6.6E-206
ZNF469,2.98E-208,0.051,-0.053,0.104,9.3E-207
PRRX1,1.53E-226,0.055,-0.06,0.115,5.98E-225
SFRP4,6.25E-233,0.053,-0.057,0.11,3.25E-231
SULF1,5.16E-242,0.061,-0.056,0.117,4.03E-240
DCN,6.08E-251,0.055,-0.064,0.119,9.47999999999999E-249
