MR & FC_Median & Pval
S100A9 & 0.067 & 3.68347e-87
TFEC & 0.066 & 2.67477e-55
POU2AF1 & 0.064 & 1.85099e-66
SMO & 0.06 & 1.81987e-52
CXCL10 & 0.056 & 4.04738e-59
HMGA2 & 0.055 & 1.61796e-35
CD74 & 0.053 & 1.59335e-38
ITGA3 & 0.052 & 9.7305e-62
SOX17 & 0.05 & 6.52188e-31
MYOCD & 0.048 & 5.55969e-24
DAB2 & 0.046 & 8.55049e-34
NOTCH4 & 0.046 & 1.77407e-39
PDE2A & 0.045 & 5.84218e-24
PSMB9 & 0.043 & 1.35109e-33
CCNA2 & 0.041 & 1.66133e-22
DLGAP5 & 0.04 & 3.21625e-20
DEPDC1 & 0.034 & 3.70209e-15
CENPF & 0.033 & 3.7646e-18
PLK1 & 0.033 & 2.832e-17
BIRC5 & 0.026 & 1.05808e-12
FOXM1 & 0.026 & 3.47683e-13
AURKB & 0.025 & 5.02519e-12
CDC45 & 0.017 & 7.26553e-05
APBB1 & 0.011 & 0.00107077
TOP2A & 0.011 & 0.0427786
ATP8B1 & -0.012 & 7.65375e-05
MECOM & -0.028 & 3.49912e-20
SLIRP & -0.029 & 5.2527e-20
MRPL12 & -0.03 & 1.9839e-14
SAP18 & -0.031 & 1.08252e-17
ZNF862 & -0.031 & 7.7636e-15
MSRB2 & -0.035 & 2.14344e-11
DMTF1 & -0.041 & 6.47611e-39
MXD3 & -0.044 & 3.12443e-21
MED31 & -0.047 & 5.68006e-29
CCNL2 & -0.05 & 2.79861e-37
ZNF688 & -0.05 & 1.54615e-43
ALKBH4 & -0.051 & 1.16661e-39
PTGES2 & -0.051 & 1.20333e-34
GATAD1 & -0.052 & 2.93727e-39
ZRANB2 & -0.054 & 3.79038e-49
CENPT & -0.056 & 6.76405e-54
DDX17 & -0.056 & 1.88148e-55
ELP6 & -0.057 & 4.09106e-53
TAF1D & -0.058 & 4.14829e-56
ZNF789 & -0.058 & 8.23431e-54
RBM39 & -0.059 & 5.27432e-51
ZNF354B & -0.059 & 3.37682e-55
LPIN3 & -0.06 & 9.20356e-47
PABPC1L & -0.06 & 3.0138e-57
TCEA3 & -0.06 & 1.69945e-44
RECQL5 & -0.061 & 6.17828e-61
STK36 & -0.063 & 2.19279e-65
ZNF337 & -0.063 & 5.49267e-75
TSSK4 & -0.064 & 2.05381e-88
DDX39B & -0.065 & 1.16542e-74
MED11 & -0.065 & 1.04371e-89
BOLA1 & -0.066 & 2.41146e-58
PNN & -0.066 & 2.91248e-72
HDAC10 & -0.067 & 3.68689e-73
PAXBP1 & -0.067 & 2.09283e-68
FBXL15 & -0.068 & 1.49787e-91
PIDD1 & -0.068 & 6.25217e-52
GLI4 & -0.071 & 3.03959e-67
ZNF276 & -0.071 & 7.98378e-85
MZF1 & -0.072 & 2.88872e-80
CDK11A & -0.073 & 2.67798e-52
CDK5RAP3 & -0.073 & 2.31819e-90
ANKRD49 & -0.074 & 9.32838e-67
FANK1 & -0.074 & 2.01155e-67
SARNP & -0.074 & 2.83815e-71
TAF1C & -0.074 & 3.05395e-87
ZNF133 & -0.075 & 7.66943e-69
ZNF785 & -0.075 & 3.95633e-88
APBB3 & -0.076 & 2.29993e-113
ZNF23 & -0.076 & 3.35178e-83
ZC3H8 & -0.078 & 3.00048e-87
CARF & -0.079 & 1.06663e-91
HSF4 & -0.079 & 1.74883e-102
KAT2A & -0.079 & 6.48096e-93
ZNF692 & -0.08 & 2.43483e-91
AGER & -0.084 & 5.25566e-126
EFCAB6 & -0.084 & 1.94044e-97
ZNF169 & -0.084 & 1.45339e-113
GTF2IRD2 & -0.085 & 2.47093e-109
LHX4 & -0.086 & 1.72031e-137
TRIM52 & -0.087 & 3.36803e-112
L3MBTL1 & -0.091 & 4.77603e-110
GTF2IRD2B & -0.095 & 2.00736e-134
ZNF19 & -0.112 & 1.27428e-144
