Pval,Mean1,Mean2,FC_Mean,Padjust
MACC1,0.000141,-0.003,0.004,-0.007,0.000158
IL33,0.000142,0.008,-0.005,0.013,0.000158
TEFM,0.000122,0.003,0.017,-0.014,0.000137
MSRB2,0.000119,-0.007,0.004,-0.011,0.000134
RRP8,7.56e-05,-0.01,0.006,-0.016,8.54e-05
CBY1,6.4e-05,-0.008,0.004,-0.012,7.26e-05
MED27,6.22e-05,-0.007,0.005,-0.012,7.08e-05
POU2AF1,1.09e-05,0.006,-0.008,0.013,1.24e-05
MYOCD,7.39e-06,0.005,-0.008,0.013,8.46e-06
ZNF423,4.45e-06,0.005,-0.01,0.015,5.11e-06
ZNF524,3.89e-06,-0.009,0.005,-0.013,4.48e-06
PSMC5,3.68e-06,0.006,-0.01,0.017,4.26e-06
TGFA,1.97e-06,0.006,-0.011,0.017,2.29e-06
ETV7,1.73e-06,0.004,-0.01,0.014,2.01e-06
ZNF133,1.11e-06,-0.013,0.006,-0.019,1.29e-06
PRNP,8.44e-07,-0.01,-0.027,0.017,9.9e-07
NBL1,7.48e-07,0.006,-0.01,0.017,8.79e-07
DNMT1,2.75e-07,0.006,-0.01,0.016,3.25e-07
KDM4D,2.73e-07,-0.011,0.005,-0.016,3.23e-07
ARMCX3,2e-07,0.007,-0.008,0.015,2.37e-07
ZBTB3,1.27e-07,-0.022,-0.002,-0.021,1.51e-07
ZNF511,9.41e-08,-0.012,0.007,-0.019,1.13e-07
SEMA4D,6.89e-08,-0.009,0.004,-0.014,8.27e-08
SDR16C5,2.92e-08,-0.011,0.007,-0.018,3.51e-08
NUFIP1,1.54e-08,-0.01,0.007,-0.017,1.86e-08
CHP1,2.35e-09,-0.012,0.008,-0.021,2.85e-09
ITGA3,2.31e-09,0.004,-0.007,0.011,2.81e-09
TBX2,1.92e-09,0.007,-0.012,0.019,2.34e-09
MYBL2,1.3e-09,-0.012,0.008,-0.02,1.6e-09
RELN,1.28e-09,-0.01,0.007,-0.017,1.58e-09
UXT,6.42e-10,-0.011,0.008,-0.02,7.93e-10
PARP15,1.12e-10,0.008,-0.012,0.021,1.39e-10
WNT4,1.03e-10,-0.01,0.008,-0.018,1.28e-10
PSMB8,4.76e-11,0.006,-0.011,0.016,5.95e-11
CEBPA,1.72e-11,-0.013,0.009,-0.023,2.15e-11
PKIA,9.8e-12,0.013,-0.015,0.028,1.23e-11
PELI1,9.1e-12,-0.01,0.007,-0.017,1.15e-11
PABPC1L,4.36e-12,-0.008,0.005,-0.013,5.52e-12
DDX54,2.82e-12,-0.011,0.007,-0.017,3.58e-12
PYCARD,4.73e-13,0.008,-0.013,0.021,6.03e-13
DLL4,3.1e-13,0.012,-0.013,0.026,3.96e-13
ZGPAT,1.99e-13,-0.015,0.011,-0.025,2.56e-13
EDF1,1.43e-13,-0.012,0.01,-0.021,1.84e-13
GLIS3,1.3e-13,0.004,-0.009,0.013,1.68e-13
MYSM1,1.06e-13,-0.01,0.008,-0.018,1.37e-13
KIT,9.43e-14,-0.016,0.01,-0.026,1.23e-13
GTF2H2C,8.83e-14,-0.011,0.012,-0.023,1.16e-13
MRPL12,7.46e-14,-0.014,0.01,-0.024,9.8e-14
AIM2,4.28e-14,0.011,-0.014,0.024,5.64e-14
MICAL2,2.39e-14,0.009,-0.013,0.021,3.16e-14
MED11,1.61e-15,-0.011,0.009,-0.02,2.14e-15
BASP1,1.45e-15,0.011,-0.015,0.026,1.93e-15
ZGLP1,1.13e-15,-0.01,0.006,-0.016,1.51e-15
ZC3H12A,7.62e-16,0.011,-0.014,0.025,1.02e-15
ZNF688,2.92e-16,-0.013,0.011,-0.024,3.94e-16
ABHD14B,1.05e-16,-0.013,0.01,-0.023,1.43e-16
TSFM,7.97e-17,-0.016,0.01,-0.026,1.08e-16
SARNP,7.89e-17,-0.013,0.011,-0.025,1.08e-16
CHEK1,3.05e-17,-0.017,0.012,-0.028,4.18e-17
IFT74,2.32e-17,-0.019,0.014,-0.033,3.2e-17
CCNQ,2.06e-17,0.011,-0.016,0.027,2.85e-17
FBXL15,1.67e-17,-0.012,0.008,-0.02,2.31e-17
CSDC2,1.09e-17,0.013,-0.019,0.033,1.52e-17
CRAMP1,7.32e-18,-0.013,0.009,-0.022,1.02e-17
NDUFA13,4.57e-18,-0.015,0.012,-0.028,6.41e-18
BATF2,2.16e-18,0.009,-0.012,0.021,3.05e-18
PIDD1,6.98e-19,-0.015,0.014,-0.029,9.89e-19
NACA,3.14e-19,-0.016,0.013,-0.029,4.47e-19
DNAJC17,3.05e-19,-0.015,0.012,-0.027,4.36e-19
THAP7,1.99e-19,-0.016,0.014,-0.03,2.85e-19
STAT4,1.51e-19,0.015,-0.02,0.035,2.18e-19
ZNF366,1.47e-19,0.016,-0.016,0.032,2.13e-19
DMTF1,8.69e-20,-0.013,0.01,-0.023,1.26e-19
SLIRP,5.18e-20,-0.014,0.011,-0.025,7.55e-20
ZNF593,2.63e-20,-0.016,0.014,-0.03,3.85e-20
CDC6,1.02e-20,-0.018,0.014,-0.032,1.5e-20
EBF1,1.84e-21,0.012,-0.016,0.028,2.71e-21
ZNF18,1.81e-21,-0.017,0.014,-0.031,2.69e-21
CDK5,1.11e-21,-0.016,0.013,-0.029,1.65e-21
CDH13,1.04e-21,0.009,-0.009,0.019,1.55e-21
ZNF23,7.43e-22,-0.019,0.012,-0.031,1.12e-21
THAP3,5.53e-22,-0.015,0.013,-0.029,8.34e-22
ACVR1,4.22e-22,0.027,0.003,0.024,6.39e-22
RHOQ,2.8e-22,0.013,-0.015,0.028,4.26e-22
HDAC10,2.42e-22,-0.016,0.013,-0.029,3.7e-22
MDFI,1.75e-22,0.012,-0.018,0.031,2.68e-22
DPY30,5.18e-23,-0.014,0.012,-0.026,7.99e-23
WDR61,2.39e-23,-0.017,0.014,-0.031,3.71e-23
LGALS9,1.77e-23,0.015,-0.019,0.034,2.75e-23
TSHZ3,1.67e-23,0.009,-0.011,0.02,2.62e-23
SOX17,1.4e-23,0.016,-0.021,0.038,2.19e-23
PCBD1,2.36e-24,-0.016,0.014,-0.03,3.72e-24
ZNF354B,2.28e-24,-0.014,0.011,-0.025,3.61e-24
ELOB,1.23e-24,-0.02,0.016,-0.036,1.96e-24
ASF1B,9.71e-25,-0.019,0.015,-0.034,1.55e-24
PLSCR1,4.25e-25,0.012,-0.019,0.031,6.84e-25
PRKCB,2.64e-25,0.016,-0.021,0.037,4.26e-25
HGF,2.42e-25,0.014,-0.024,0.038,3.92e-25
PDE2A,1.53e-25,0.016,-0.022,0.038,2.5e-25
ELP6,9.45e-26,-0.017,0.015,-0.032,1.55e-25
ZBTB26,3.48e-26,-0.02,0.018,-0.038,5.72e-26
JAG1,1.2e-26,0.012,-0.018,0.03,1.98e-26
LDB2,1.16e-26,0.018,-0.02,0.038,1.93e-26
HEXIM2,9.83e-27,-0.017,0.015,-0.033,1.64e-26
BHLHE22,7.43e-27,0.013,-0.013,0.026,1.24e-26
ALKBH4,4.59e-27,-0.018,0.015,-0.034,7.73e-27
ZNF26,4.2e-27,-0.021,0.017,-0.038,7.11e-27
CD40LG,2.47e-27,0.015,-0.022,0.037,4.2e-27
PSMB9,1.58e-28,0.016,-0.021,0.037,2.7e-28
FOXF1,7.68e-29,0.014,-0.019,0.033,1.32e-28
ZNF831,7.45e-29,0.015,-0.02,0.036,1.29e-28
SUV39H2,1.01e-29,-0.022,0.017,-0.039,1.75e-29
ZNF771,7.83e-30,-0.018,0.015,-0.034,1.37e-29
SFSWAP,1.95e-30,-0.019,0.015,-0.034,3.41e-30
RPS14,1.23e-30,-0.014,0.011,-0.025,2.17e-30
E2F1,3.85e-31,-0.021,0.016,-0.038,6.81e-31
IGF2,3.67e-31,0.02,-0.024,0.044,6.52e-31
LMCD1,2.33e-31,0.016,-0.017,0.033,4.17e-31
GTF2H5,1.41e-31,-0.016,0.013,-0.03,2.54e-31
BOLA1,1.95e-32,-0.025,0.021,-0.046,3.53e-32
GNL3,1.25e-32,-0.022,0.017,-0.038,2.27e-32
REXO4,5.41e-33,-0.021,0.017,-0.038,9.89e-33
ZNF76,4.51e-33,-0.054,-0.002,-0.051,8.29e-33
PRDX5,4.48e-33,-0.019,0.016,-0.035,8.28e-33
TMEM100,2.56e-33,0.017,-0.021,0.038,4.76e-33
DKK3,7.59e-34,0.018,-0.028,0.046,1.42e-33
ZEB2,6.53e-34,0.019,-0.026,0.044,1.23e-33
CCNL1,5.13e-35,-0.018,0.015,-0.033,9.68e-35
CD28,3.49e-35,0.017,-0.024,0.041,6.61e-35
MXD3,2.74e-35,-0.023,0.02,-0.043,5.22e-35
EFCAB6,7.67e-36,-0.022,0.019,-0.041,1.47e-35
ANKRD49,2.52e-36,-0.022,0.018,-0.04,4.86e-36
CREB3L1,1.05e-36,0.018,-0.019,0.037,2.04e-36
FOXS1,5.97e-37,0.017,-0.022,0.039,1.16e-36
CD3D,2.94e-37,0.018,-0.021,0.039,5.76e-37
S1PR1,1.35e-37,0.019,-0.025,0.045,2.65e-37
NFKBIL1,7.24e-38,-0.021,0.019,-0.04,1.44e-37
IFI16,1.07e-38,0.021,-0.019,0.04,2.13e-38
ZNF837,9.74e-39,-0.02,0.017,-0.037,1.95e-38
ZNF696,4.8e-39,-0.026,0.02,-0.047,9.68e-39
GTF2H4,4.11e-39,-0.02,0.016,-0.036,8.34e-39
DDX39B,3.77e-39,-0.017,0.014,-0.031,7.7e-39
FOXO1,3.66e-39,0.021,-0.026,0.047,7.51e-39
ZNF653,3.06e-39,-0.026,0.021,-0.047,6.32e-39
POLR3F,2.74e-39,-0.027,0.023,-0.05,5.69e-39
ZNF224,1.97e-39,-0.022,0.02,-0.042,4.12e-39
HOPX,1.86e-39,0.019,-0.023,0.042,3.91e-39
ZNF521,1.39e-39,0.018,-0.024,0.043,2.94e-39
PA2G4,6.96e-40,-0.026,0.02,-0.046,1.48e-39
MEF2C,5.56e-40,0.022,-0.025,0.047,1.19e-39
ZNF337,2.82e-40,-0.018,0.015,-0.033,6.08e-40
PIAS2,2.6e-40,-0.025,0.024,-0.049,5.64e-40
GTF2IRD2B,9.97e-41,-0.021,0.018,-0.038,2.18e-40
PIK3R2,6.08e-42,-0.025,0.022,-0.047,1.34e-41
TNFSF8,3.95e-42,0.019,-0.025,0.045,8.73e-42
TRIM22,1.66e-42,0.019,-0.024,0.042,3.7e-42
SAP18,1.29e-42,-0.021,0.018,-0.039,2.89e-42
NLRC5,7.54e-43,0.018,-0.022,0.039,1.7e-42
SS18L2,4.46e-43,-0.021,0.019,-0.039,1.01e-42
PARP14,3.73e-44,0.02,-0.024,0.044,8.52e-44
TAF1C,2e-44,-0.021,0.017,-0.038,4.6e-44
ZBTB49,1.91e-44,-0.025,0.027,-0.052,4.42e-44
HOXB2,6.22e-45,0.025,-0.033,0.058,1.45e-44
SNAI1,1.86e-45,0.02,-0.021,0.041,4.35e-45
HAND2,1.45e-45,0.024,-0.029,0.053,3.43e-45
VAV1,1.28e-45,0.02,-0.026,0.046,3.05e-45
E4F1,1.7e-46,-0.025,0.021,-0.045,4.07e-46
RELB,6.28e-47,0.024,-0.029,0.053,1.51e-46
SIRT5,5.59e-47,-0.027,0.023,-0.05,1.36e-46
FASLG,5.09e-47,0.023,-0.028,0.051,1.24e-46
TCERG1,4.04e-47,-0.024,0.021,-0.044,9.93e-47
RPS27A,3.87e-47,-0.022,0.019,-0.041,9.59e-47
CD74,2.62e-47,0.023,-0.027,0.049,6.55e-47
RPL6,6.43e-48,-0.022,0.018,-0.04,1.62e-47
GLI4,5.63e-48,-0.024,0.019,-0.044,1.43e-47
PNN,3.43e-48,-0.023,0.019,-0.042,8.74e-48
ZEB1,2.81e-48,0.022,-0.029,0.051,7.21e-48
PTGES2,1.25e-48,-0.024,0.019,-0.044,3.23e-48
RBM39,8.37e-49,-0.02,0.018,-0.038,2.19e-48
FZD1,5.36e-49,0.023,-0.03,0.053,1.41e-48
DDX58,4.54e-49,0.022,-0.026,0.047,1.2e-48
FOXP3,1.19e-49,0.024,-0.025,0.049,3.18e-49
ETS1,3.61e-50,0.024,-0.027,0.051,9.72e-50
TGFB2,2.16e-50,0.024,-0.029,0.053,5.86e-50
PYHIN1,2.81e-51,0.023,-0.027,0.05,7.68e-51
ZNF10,1.14e-51,-0.029,0.028,-0.057,3.13e-51
TLR2,2.43e-52,0.022,-0.029,0.051,6.76e-52
S100A9,9.48e-53,0.02,-0.027,0.047,2.65e-52
APOE,6.04e-53,0.023,-0.027,0.05,1.7e-52
NCF1,1.59e-53,0.022,-0.027,0.05,4.53e-53
ZNF169,1.17e-54,-0.024,0.025,-0.049,3.37e-54
PLXND1,1.36e-55,0.022,-0.027,0.049,3.94e-55
HCLS1,7.52e-56,0.022,-0.028,0.05,2.19e-55
NFAM1,6.64e-56,0.022,-0.029,0.051,1.95e-55
CIITA,4.09e-56,0.023,-0.028,0.051,1.21e-55
WNT2,3.59e-56,0.026,-0.028,0.054,1.07e-55
BHLHE40,8.65e-57,0.03,-0.033,0.063,2.61e-56
TCEAL7,2.32e-57,0.021,-0.025,0.046,7.05e-57
NOTCH3,1.41e-59,0.025,-0.032,0.057,4.33e-59
F2R,6.14e-61,0.026,-0.03,0.055,1.9e-60
INO80B,2.37e-61,-0.033,0.026,-0.059,7.42e-61
FGFR1,1.9e-61,0.027,-0.034,0.061,5.99e-61
TCF4,6.62e-62,0.023,-0.028,0.051,2.11e-61
DNAJA3,6.14e-62,-0.029,0.025,-0.054,1.97e-61
DMAP1,5.75e-62,-0.032,0.031,-0.062,1.86e-61
CXCL10,6.84e-63,0.026,-0.032,0.058,2.24e-62
SNAPC4,1.26e-63,-0.027,0.023,-0.05,4.17e-63
SLA2,3.82e-64,0.026,-0.034,0.059,1.27e-63
KANK2,3.54e-64,0.043,-0.028,0.071,1.19e-63
CHRD,2.99e-64,0.027,-0.03,0.057,1.02e-63
RXRB,5.08e-65,-0.032,0.028,-0.06,1.74e-64
IRF1,2.99e-65,0.025,-0.028,0.052,1.04e-64
CCNL2,6.99e-66,-0.023,0.02,-0.043,2.45e-65
CENPT,6.87e-66,-0.024,0.021,-0.046,2.43e-65
HSF4,3.66e-66,-0.025,0.021,-0.046,1.31e-65
SULF1,2.02e-66,0.027,-0.029,0.056,7.29e-66
HTRA1,1.79e-66,0.031,-0.041,0.072,6.55e-66
PTAFR,9.35e-67,0.023,-0.027,0.05,3.45e-66
SPP1,3.07e-67,0.04,-0.03,0.069,1.15e-66
BTK,1.48e-67,0.026,-0.031,0.057,5.59e-67
NR4A3,7.82e-68,0.031,-0.04,0.071,2.98e-67
DAB2,3.63e-68,0.03,-0.037,0.067,1.4e-67
ZSCAN32,7.88e-69,-0.033,0.03,-0.063,3.07e-68
NOTCH4,5.59e-69,0.027,-0.034,0.061,2.2e-68
TRIM52,1.76e-69,-0.026,0.023,-0.049,7.01e-69
CARF,1.07e-69,-0.031,0.03,-0.061,4.32e-69
ZNF276,3.49e-70,-0.025,0.021,-0.046,1.46e-69
ARID5A,3.57e-70,0.024,-0.029,0.053,1.46e-69
GLI2,3.53e-70,0.033,-0.035,0.068,1.46e-69
PARP9,2.03e-70,0.024,-0.028,0.052,8.57e-70
LPIN3,2.14e-71,-0.025,0.021,-0.046,9.18e-71
PLK3,7.77e-72,0.028,-0.034,0.062,3.37e-71
STK36,1.07e-72,-0.024,0.022,-0.047,4.72e-72
ZNF469,4.27e-73,0.028,-0.037,0.065,1.9e-72
GREM1,2.78e-75,0.031,-0.04,0.072,1.25e-74
FOXC2,1.95e-75,0.035,-0.041,0.076,8.89e-75
PAXBP1,1.38e-75,-0.031,0.025,-0.057,6.37e-75
VGLL3,1.35e-75,0.03,-0.038,0.068,6.33e-75
RECQL5,1.03e-75,-0.026,0.024,-0.05,4.9e-75
LILRB4,3.6e-76,0.029,-0.035,0.064,1.74e-75
RHOH,2.07e-76,0.031,-0.037,0.067,1.01e-75
ZRANB2,1.27e-77,-0.03,0.027,-0.057,6.31e-77
TFEC,4.95e-78,0.025,-0.031,0.056,2.49e-77
MEOX2,2.23e-79,0.03,-0.038,0.068,1.14e-78
GTF2IRD2,8.81e-80,-0.024,0.024,-0.048,4.56e-79
IL1B,6.87e-80,0.033,-0.037,0.07,3.61e-79
CAV1,2.35e-81,0.027,-0.035,0.062,1.26e-80
HCK,2.06e-81,0.028,-0.033,0.061,1.12e-80
FAM200B,5.9e-82,-0.04,0.035,-0.075,3.25e-81
FSTL3,2.37e-84,0.035,-0.04,0.075,1.33e-83
MNDA,1.34e-84,0.03,-0.034,0.064,7.6e-84
MED7,5.34e-85,-0.03,0.03,-0.06,3.09e-84
SFRP4,1.77e-85,0.031,-0.035,0.066,1.04e-84
S100A8,2.89e-88,0.03,-0.036,0.066,1.73e-87
PTGIS,1.22e-88,0.032,-0.034,0.065,7.42e-88
TAF6L,8.82e-90,-0.038,0.035,-0.073,5.47e-89
IKZF1,1.2e-90,0.033,-0.038,0.071,7.59e-90
CD86,9.31e-92,0.032,-0.04,0.072,5.98e-91
ACVRL1,6.67e-93,0.03,-0.037,0.067,4.37e-92
RUNX1T1,1.25e-94,0.028,-0.033,0.061,8.31e-94
ZNF789,4.9e-95,-0.03,0.028,-0.058,3.34e-94
SLC11A1,1.82e-95,0.032,-0.04,0.071,1.26e-94
TADA1,3.05e-96,-0.032,0.029,-0.061,2.16e-95
FOSL1,1.05e-96,0.032,-0.039,0.071,7.62e-96
SS18L1,7.51e-97,-0.034,0.03,-0.064,5.54e-96
ZC3H8,9.71e-98,-0.036,0.034,-0.07,7.33e-97
HTRA3,6.93e-98,0.034,-0.038,0.072,5.35e-97
KAT2A,1.35e-98,-0.036,0.032,-0.068,1.06e-97
BNC2,1.02e-98,0.033,-0.04,0.073,8.21e-98
BCL6B,7.57e-99,0.029,-0.034,0.064,6.25e-98
HAVCR2,6.34e-99,0.033,-0.04,0.073,5.37e-98
STAT1,3.88e-100,0.03,-0.035,0.065,3.37e-99
APBB3,2.29e-101,-0.031,0.027,-0.057,2.03e-100
ECM1,2.23e-101,0.036,-0.043,0.079,2.03e-100
LZTS1,9.53e-102,0.038,-0.044,0.082,8.94e-101
ZNF692,1.63e-102,-0.03,0.027,-0.057,1.57e-101
CDK5RAP3,5.22e-104,-0.029,0.026,-0.055,5.18e-103
SPI1,3.27e-104,0.035,-0.042,0.077,3.34e-103
NLRP3,4.7e-105,0.038,-0.048,0.086,4.94e-104
FLNA,1.12e-105,0.03,-0.036,0.066,1.21e-104
GPS2,7.49e-106,-0.039,0.035,-0.074,8.38e-105
ACTN1,7.07e-106,0.033,-0.038,0.071,8.18e-105
ITGB2,1.61e-106,0.035,-0.042,0.078,1.93e-105
PLEK,5.34e-107,0.035,-0.041,0.076,6.62e-106
AGER,2.36e-109,-0.033,0.031,-0.064,3.04e-108
MDM4,9.12e-110,-0.035,0.03,-0.065,1.22e-108
IL16,5.5e-110,0.038,-0.044,0.082,7.64e-109
CD4,4.31e-110,0.036,-0.041,0.077,6.23e-109
TNFAIP3,1.4e-112,0.041,-0.049,0.09,2.12e-111
CMKLR1,1.92e-114,0.035,-0.041,0.076,3.03e-113
MEIS3,1.13e-114,0.037,-0.045,0.083,1.87e-113
DCN,1.53e-115,0.039,-0.046,0.085,2.66e-114
LUM,1.33e-115,0.038,-0.046,0.084,2.44e-114
OSM,9.4e-122,0.042,-0.049,0.092,1.81e-120
TGFB3,3.88e-122,0.04,-0.047,0.087,7.91e-121
PRRX1,3.25e-122,0.038,-0.042,0.08,7.04e-121
SERPINE1,2.84e-122,0.041,-0.051,0.092,6.57e-121
CEBPB,6.76e-126,0.046,-0.054,0.1,1.68e-124
FLI1,2.5e-126,0.037,-0.044,0.081,6.67e-125
AEBP1,1.1e-126,0.04,-0.045,0.085,3.19e-125
ICAM1,4.11e-127,0.04,-0.048,0.088,1.3e-125
MSC,4.86e-133,0.04,-0.046,0.086,1.69e-131
ENG,1.68e-133,0.041,-0.049,0.09,6.46e-132
CAVIN1,6.99e-135,0.04,-0.049,0.089,3.03e-133
FBN1,8.78e-139,0.04,-0.046,0.086,4.35e-137
LOXL2,1.09e-139,0.037,-0.042,0.08,6.28e-138
TWIST1,5.65e-140,0.046,-0.056,0.102,3.92e-138
COL1A1,1.07e-141,0.043,-0.05,0.093,9.24e-140
IL6,2.03e-148,0.048,-0.055,0.103,2.35e-146
FSTL1,1.82e-150,0.041,-0.049,0.091,4.61e-148
TGFB1I1,2.65e-150,0.044,-0.054,0.098,4.61e-148
